originalSentence,danishSentence,tamperingType,tamperedSentence,LLMScore,BLEU,METEOR,Rouge1 r,Rouge1 p,Rouge1 f,Rouge2 r,Rouge2 p,Rouge2 f,Rougel r,Rougel p,Rougel f
"Madam President, on a point of order.","Fru formand, en bemærkning til forretningsordenen.",Swap words,"madam on president, a point of order. ",0.9,0.4854917717073234,0.9561,0.625,0.7142857142857143,0.6666666616888889,0.4285714285714285,0.5,0.4615384565680473,0.625,0.7142857142857143,0.6666666616888889
"Madam President, on a point of order.","Fru formand, en bemærkning til forretningsordenen.",Remove Token,"madam president, on point of order.",1.0,0.3549481056010053,0.8919,0.6666666666666666,0.5714285714285714,0.6153846104142012,0.4,0.3333333333333333,0.3636363586776859,0.6666666666666666,0.5714285714285714,0.6153846104142012
"Madam President, on a point of order.","Fru formand, en bemærkning til forretningsordenen.",Add random word,"madam president, misfocusing on a point of order.",0.7,0.5462757644646491,0.9836,0.625,0.7142857142857143,0.6666666616888889,0.5714285714285714,0.6666666666666666,0.6153846104142012,0.625,0.7142857142857143,0.6666666616888889
"Madam President, on a point of order.","Fru formand, en bemærkning til forretningsordenen.",Duplicate Token,"madam president, on a point of of order.",0.95,0.5166357204442371,0.9836,0.7142857142857143,0.7142857142857143,0.7142857092857143,0.5714285714285714,0.6666666666666666,0.6153846104142012,0.7142857142857143,0.7142857142857143,0.7142857092857143
"Madam President, on a point of order.","Fru formand, en bemærkning til forretningsordenen.",Replace Character,"Madam President, on ampoint of order.",0.97,0.4316700106852252,0.7773,0.8333333333333334,0.7142857142857143,0.7692307642603551,0.6,0.5,0.5454545404958678,0.8333333333333334,0.7142857142857143,0.7692307642603551
"Madam President, on a point of order.","Fru formand, en bemærkning til forretningsordenen.",Duplicate character,"Madam President,  on a point of order.",1,1.0,0.9993,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995
"Madam President, on a point of order.","Fru formand, en bemærkning til forretningsordenen.",Remove Character,"Madam President, on a oint of order.",0.95,0.5969491792019646,0.8819,0.8571428571428571,0.8571428571428571,0.8571428521428571,0.6666666666666666,0.6666666666666666,0.6666666616666668,0.8571428571428571,0.8571428571428571,0.8571428521428571
"Madam President, on a point of order.","Fru formand, en bemærkning til forretningsordenen.",Swap characters,"Madam President, on a point of ordre.",0.95,0.7506238537503395,0.8819,0.8571428571428571,0.8571428571428571,0.8571428521428571,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.8571428571428571,0.8571428571428571,0.8571428521428571
You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.,Gennem pressen og tv vil De være bekendt med en række bombeeksplosioner og drab i Sri Lanka.,Replace Token with Random Word,you will be aware from the press cutisector television that there have been a number of bomb explosions and killings in sri lanka.,0.95,0.7140573910176907,0.958,0.8260869565217391,0.8636363636363636,0.8444444394469136,0.7727272727272727,0.7727272727272727,0.7727272677272727,0.8260869565217391,0.8636363636363636,0.8444444394469136
You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.,Gennem pressen og tv vil De være bekendt med en række bombeeksplosioner og drab i Sri Lanka.,Swap words,you will be aware from the press and that television there have been a number of bomb explosions and killings in sri lanka. ,0.95,0.6859095923640117,0.9977,0.8260869565217391,0.8636363636363636,0.8444444394469136,0.6956521739130435,0.7272727272727273,0.7111111061135803,0.782608695652174,0.8181818181818182,0.7999999950024692
You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.,Gennem pressen og tv vil De være bekendt med en række bombeeksplosioner og drab i Sri Lanka.,Remove Token,you will be aware from the press and television that there have been a number bomb explosions and killings in sri lanka.,0.95,0.7140573910176907,0.962,0.8571428571428571,0.8181818181818182,0.8372092973282856,0.8095238095238095,0.7727272727272727,0.7906976694213088,0.8571428571428571,0.8181818181818182,0.8372092973282856
You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.,Gennem pressen og tv vil De være bekendt med en række bombeeksplosioner og drab i Sri Lanka.,Add random word,you will be aware from intermissive the press and television that there have been a number of bomb explosions and killings in sri lanka.,0.95,0.7281051247089317,0.9956,0.8260869565217391,0.8636363636363636,0.8444444394469136,0.782608695652174,0.8181818181818182,0.7999999950024692,0.8260869565217391,0.8636363636363636,0.8444444394469136
You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.,Gennem pressen og tv vil De være bekendt med en række bombeeksplosioner og drab i Sri Lanka.,Duplicate Token,you will be aware aware from the press and television that there have been a number of bomb explosions and killings in sri lanka.,0.95,0.76232015509242,0.9956,0.8636363636363636,0.8636363636363636,0.8636363586363637,0.8260869565217391,0.8636363636363636,0.8444444394469136,0.8636363636363636,0.8636363636363636,0.8636363586363637
You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.,Gennem pressen og tv vil De være bekendt med en række bombeeksplosioner og drab i Sri Lanka.,Replace Character,You wiwl be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.,0.98,0.9210589320522864,0.958,0.9545454545454546,0.9545454545454546,0.9545454495454548,0.9090909090909092,0.9090909090909092,0.9090909040909092,0.9545454545454546,0.9545454545454546,0.9545454495454548
You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.,Gennem pressen og tv vil De være bekendt med en række bombeeksplosioner og drab i Sri Lanka.,Duplicate character,You will be aware from tthe press and television that there have been a number of bomb explosions and killings in Sri Lanka.,1.0,0.8843865924896842,0.958,0.9545454545454546,0.9545454545454546,0.9545454495454548,0.9090909090909092,0.9090909090909092,0.9090909040909092,0.9545454545454546,0.9545454545454546,0.9545454495454548
You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.,Gennem pressen og tv vil De være bekendt med en række bombeeksplosioner og drab i Sri Lanka.,Remove Character,You will be aware from the press and television that there hae been a number of bomb explosions and killings in Sri Lanka.,1.  0,0.8843865924896842,0.958,0.9545454545454546,0.9545454545454546,0.9545454495454548,0.9090909090909092,0.9090909090909092,0.9090909040909092,0.9545454545454546,0.9545454545454546,0.9545454495454548
You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.,Gennem pressen og tv vil De være bekendt med en række bombeeksplosioner og drab i Sri Lanka.,Swap characters,You will be aware from the press and television that there have been a nmuber of bomb explosions and killings in Sri Lanka.,0.98,0.8843865924896842,0.958,0.9545454545454546,0.9545454545454546,0.9545454495454548,0.9090909090909092,0.9090909090909092,0.9090909040909092,0.9545454545454546,0.9545454545454546,0.9545454495454548
"One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.","En af de personer, der blev myrdet for ganske nylig i Sri Lanka, var hr. Kumar Ponnambalam, der besøgte Europa-Parlamentet for få måneder siden.",Replace Token with Random Word,"fibrinopurulent of the people assassinated very recently in sri lanka was mr kumar ponnambalam, who had visited the european parliament just a few months ago.",0.95,0.5199302229930708,0.9629,0.6666666666666666,0.6666666666666666,0.6666666616666668,0.5416666666666666,0.5416666666666666,0.5416666616666667,0.6666666666666666,0.6666666666666666,0.6666666616666668
"One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.","En af de personer, der blev myrdet for ganske nylig i Sri Lanka, var hr. Kumar Ponnambalam, der besøgte Europa-Parlamentet for få måneder siden.",Swap words,"one of the people assassinated very recently in sri lanka was mr kumar ponnambalam, who had visited the european just parliament a few months ago. ",0.95,0.4855332614117322,0.9984,0.64,0.6666666666666666,0.6530612194918785,0.48,0.5,0.4897959133694294,0.64,0.6666666666666666,0.6530612194918785
"One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.","En af de personer, der blev myrdet for ganske nylig i Sri Lanka, var hr. Kumar Ponnambalam, der besøgte Europa-Parlamentet for få måneder siden.",Remove Token,"one of the people assassinated very recently in sri lanka was mr kumar ponnambalam, who had the european parliament just a few months ago.",0.95,0.4440750605884706,0.9663,0.6521739130434783,0.625,0.6382978673426891,0.4782608695652174,0.4583333333333333,0.4680851013852422,0.6521739130434783,0.625,0.6382978673426891
"One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.","En af de personer, der blev myrdet for ganske nylig i Sri Lanka, var hr. Kumar Ponnambalam, der besøgte Europa-Parlamentet for få måneder siden.",Add random word,"one of phonoreceptor the people assassinated very recently in sri lanka was mr kumar ponnambalam, who had visited the european parliament just a few months ago.",0.97,0.4678794877498541,0.9961,0.64,0.6666666666666666,0.6530612194918785,0.48,0.5,0.4897959133694294,0.64,0.6666666666666666,0.6530612194918785
"One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.","En af de personer, der blev myrdet for ganske nylig i Sri Lanka, var hr. Kumar Ponnambalam, der besøgte Europa-Parlamentet for få måneder siden.",Duplicate Token,"one of of the people assassinated very recently in sri lanka was mr kumar ponnambalam, who had visited the european parliament just a few months ago.",1.0,0.5010257910907095,0.9961,0.6666666666666666,0.6666666666666666,0.6666666616666668,0.52,0.5416666666666666,0.5306122399000418,0.6666666666666666,0.6666666666666666,0.6666666616666668
"One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.","En af de personer, der blev myrdet for ganske nylig i Sri Lanka, var hr. Kumar Ponnambalam, der besøgte Europa-Parlamentet for få måneder siden.",Replace Character,"One of thelpeople assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.",1.0,0.8701761846085435,0.9291,0.9583333333333334,0.9583333333333334,0.9583333283333336,0.9130434782608696,0.875,0.8936170162788593,0.9583333333333334,0.9583333333333334,0.9583333283333336
"One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.","En af de personer, der blev myrdet for ganske nylig i Sri Lanka, var hr. Kumar Ponnambalam, der besøgte Europa-Parlamentet for få måneder siden.",Duplicate character,"One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited thhe European Parliament just a few months ago.",0.98,0.8985396083419646,0.9612,0.96,1.0,0.9795918317367764,0.9166666666666666,0.9166666666666666,0.9166666616666668,0.96,1.0,0.9795918317367764
"One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.","En af de personer, der blev myrdet for ganske nylig i Sri Lanka, var hr. Kumar Ponnambalam, der besøgte Europa-Parlamentet for få måneder siden.",Remove Character,"One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited th European Parliament just a few months ago.",0.98,0.8985396083419646,0.9612,0.96,1.0,0.9795918317367764,0.9166666666666666,0.9166666666666666,0.9166666616666668,0.96,1.0,0.9795918317367764
"One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.","En af de personer, der blev myrdet for ganske nylig i Sri Lanka, var hr. Kumar Ponnambalam, der besøgte Europa-Parlamentet for få måneder siden.",Swap characters,"One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnabmalam, who had visited the European Parliament just a few months ago.",1.0,0.8985396083419646,0.9627,0.9583333333333334,0.9583333333333334,0.9583333283333336,0.9166666666666666,0.9166666666666666,0.9166666616666668,0.9583333333333334,0.9583333333333334,0.9583333283333336
